	Unnamed: 0	id	like_ratio	dislike_ratio	views_to_days	duration	comment_count	peaks_count	heightxwid	label	comments_sim_score
355	355	R0XTo91LxGY	0.004003266665599129	0.498997995991984	93.34678624813154	109.0	69	1.0	0.1162103188405354	1.0	0.8588341
358	358	qEwEQ6rYvU0	0.03818369453044376	0.03896103896103896	8.142857142857142	201.0	17	1.0	0.1002305710359222	1.0	0.5995823
400	400	jvL4VXhK2wg	0.017471329463400822	0.03894080996884735	49.87994350282486	498.0	57	1.0	0.001596744124038315	1.0	0.88078487
413	413	XVP-gi0BiuM	0.051301115241635685	0.05909090909090909	9.427570093457943	199.0	41	2.0	0.02671399581302001	1.0	0.7661545
421	421	lJPPGGTb_4I	0.03101604278074866	0.09375	3.075657894736842	603.0	16	1.0	0.11633776047231133	1.0	0.43377256
425	425	Om3rG2Shbic	0.017794486215538845	0.04789272030651341	72.17054263565892	6547.0	1806	1.0	0.002392757996555857	1.0	0.59500337
430	430	rCnGjq2zg6Y	0.20869565217391306	0.0	0.2619589977220957	15.0	13	2.0	0.032652913124224414	1.0	0.9377223
482	482	NJrzguzBgSw	0.004705949460954879	0.011976047904191616	96.58953168044077	168.0	38	1.0	0.009675950001219564	1.0	0.74959064
504	504	h6ICtzYMSY4	0.01016893554206987	0.04615384615384616	16.93611111111111	127.0	20	1.0	0.1944929393258796	1.0	0.64060646
560	560	fybHiKblB4Q	0.05852842809364549	0.07894736842105263	5.777777777777778	682.0	132	1.0	0.015806745112194345	1.0	0.7509995
582	582	B0JquK66-9I	0.004108182129407736	0.07692307692307693	10.507194244604317	196.0	14	2.0	0.0031851264527767713	1.0	0.7827278
585	585	JnX7t2sAln4	0.11229946524064173	0.045454545454545456	0.4698492462311558	220.0	100	1.0	0.023784376979395325	1.0	0.90222883
599	599	p9ex6uBFoCI	0.0584192439862543	0.15	1.2652173913043478	167.0	20	1.0	0.08781555667798703	1.0	0.49039570000000005
601	601	goAO1BAcmZE	0.034710743801652885	0.009433962264150943	11.458333333333336	36.0	46	1.0	0.027518703950823387	1.0	0.8117154000000001
605	605	zYRJRtcpNzg	0.11647727272727272	0.0	1.032258064516129	285.0	73	1.0	0.03872253977437984	1.0	0.73527616
657	657	a_BWkNdFUQM	0.006396772488484731	0.11624441132637856	108.55152224824356	106.0	72	1.0	0.0013280314378043886	1.0	0.48978493
660	660	9HMm72jshs8	0.036700837311213715	0.016771488469601678	31.9475	154.0	38	1.0	0.03393984852248628	1.0	0.8712332
685	685	u37TFrSrcXU	0.2850877192982456	0.015151515151515154	1.0316742081447965	4749.0	112	1.0	0.0163711013870219	1.0	0.76125604
724	724	Ma_RI_X5YcM	0.020418426875880104	0.055813953488372085	55.08033240997229	179.0	86	1.0	0.024645620464696826	1.0	0.8307448000000001
741	741	c_DmS5wb84Y	0.013501970185445428	0.008097165991902834	77.71092077087795	329.0	42	3.0	0.05386936154205967	1.0	0.7105148
764	764	g73FTOcCtfQ	0.21186440677966098	0.0	0.493723849372385	7197.0	0	1.0	0.04302886284500257	1.0	0.9273882999999999
840	840	uyQdXTxApyY	0.022831964750650916	0.004366812227074236	37.82575757575758	412.0	35	1.0	0.04397676429327193	1.0	0.6323046999999999
860	860	s20BuOvGHTo	0.018701407858793862	0.011111111111111113	8.393298059964726	314.0	49	1.0	0.05139433562886605	1.0	0.6664656999999999
862	862	Uqq2-gfc4yI	0.00019047685712492068	0.08856366928183464	113674.33333333331	136.0	1123	1.0	0.07323999120279419	1.0	0.51886207
